line,lng,lat,type,id
93路,104.037795,30.707062,terminal,178
93路,104.031541,30.58572,terminal,179
96路,104.012224,30.672253,terminal,180
96路,103.919945,30.743916,terminal,181
97路,104.113524,30.646801,terminal,182
97路,104.185474,30.66128,terminal,183
98路,104.146927,30.661289,terminal,184
98路,104.066272,30.670061,terminal,185
99路,104.073342,30.668676,terminal,186
99路,104.03497,30.586528,terminal,187
102路,103.765556,30.667769,terminal,188
102路,103.883239,30.703925,terminal,189
103路,103.88376,30.704569,terminal,190
103路,103.791234,30.626929,terminal,191
104路,103.91523,30.725373,terminal,192
104路,103.855477,30.672513,terminal,193
105路,103.8351,30.661727,terminal,194
105路,103.897318,30.713368,terminal,195
106路,103.817799,30.629049,terminal,196
106路,103.883233,30.703871,terminal,197
107路,104.073372,30.668728,terminal,198
107路,103.992404,30.689679,terminal,199
109路,104.06408,30.60523,terminal,200
109路,104.039846,30.710041,terminal,201
111路,104.040964,30.650651,terminal,202
111路,103.989154,30.710386,terminal,203
112路,104.168465,30.711826,terminal,204
112路,104.083542,30.644835,terminal,205
113路,104.13569,30.673633,terminal,206
113路,104.013229,30.704553,terminal,207
115路,104.072062,30.542804,terminal,208
115路,104.041102,30.652444,terminal,209
116路,103.903786,30.764223,terminal,210
116路,104.037426,30.710664,terminal,211
118路,104.068216,30.488637,terminal,212
118路,104.073216,30.6201,terminal,213
119路,104.050182,30.702378,terminal,214
119路,103.972908,30.76897,terminal,215
120路,104.068394,30.604614,terminal,216
120路,104.163584,30.664439,terminal,217
121路,104.106071,30.597569,terminal,218
121路,103.985442,30.578414,terminal,219
122路,104.187773,30.68441,terminal,220
122路,104.113572,30.646775,terminal,221
123路,103.97697,30.605473,terminal,222
123路,104.011197,30.673644,terminal,223
124路,104.034996,30.586523,terminal,224
124路,104.107231,30.539761,terminal,225
125路,104.063339,30.565888,terminal,226
125路,103.96299,30.664948,terminal,227
126路,104.041063,30.653763,terminal,228
126路,104.040903,30.654266,terminal,229
128路,104.114883,30.64628,terminal,230
128路,104.183711,30.704076,terminal,231
127路,104.041059,30.653789,terminal,232
127路,104.040903,30.65428,terminal,233
131路,103.97464,30.605803,terminal,234
131路,104.068859,30.545934,terminal,235
136路,104.136966,30.444497,terminal,236
136路,104.104323,30.408681,terminal,237
133路,104.064002,30.60523,terminal,238
133路,104.158819,30.62431,terminal,239
137路,104.061797,30.594245,terminal,240
137路,104.146962,30.623767,terminal,241
138路,104.152461,30.580469,terminal,242
138路,104.067457,30.657643,terminal,243
141路,104.032726,30.636406,terminal,244
141路,104.126293,30.636024,terminal,245
143路,104.011536,30.705856,terminal,246
143路,104.123398,30.767565,terminal,247
145路,104.051544,30.759016,terminal,248
145路,104.103919,30.715026,terminal,249
146路,104.112799,30.6652,terminal,250
146路,104.085299,30.716597,terminal,251
147路,104.143123,30.627425,terminal,252
147路,104.049201,30.60724,terminal,253
335路,103.965469,30.630825,terminal,254
335路,104.076189,30.649401,terminal,255
336路,104.150035,30.625781,terminal,256
336路,104.095772,30.62478,terminal,257
338路,103.995799,30.608872,terminal,258
338路,104.001879,30.63714,terminal,259
339路,103.980247,30.612526,terminal,260
339路,104.021172,30.67411,terminal,261
340路,104.027383,30.606988,terminal,262
340路,104.03602,30.708021,terminal,263
341路,103.977956,30.690859,terminal,264
341路,104.125526,30.65032,terminal,265
343路,104.001207,30.638967,terminal,266
343路,104.158897,30.580091,terminal,267
