,Longitude,Latitude,time_taxi,time_bus,cost_taxi,cost_bus
89,116.467043,39.942762,94.31666666666666,94.0,258,42.0
90,116.420946,39.921162,114.91666666666667,76.48333333333333,226,40.0
91,116.45565,39.837997,87.63333333333334,75.28333333333333,205,39.0
92,116.355467,39.832026,89.86666666666666,65.08333333333333,189,37.0
93,116.33839,39.996652,112.43333333333334,81.35,252,40.0
94,116.504731,39.882201,93.36666666666666,84.66666666666667,241,40.0
95,116.445243,39.759413,77.41666666666667,82.35,178,40.0
96,116.218084,39.972427,94.18333333333334,118.75,266,43.0
97,116.481806,39.813219,80.0,98.43333333333334,193,41.0
98,116.327319,39.865851,93.11666666666666,64.03333333333333,204,38.0
99,116.391536,40.016153,120.25,91.91666666666667,275,40.0
