line,bus_id,time,round_time,duration,status
37,21028411,2022-06-01 14:02:45,2022-06-01 14:03:00,12166,o
37,21028411,2022-06-01 17:25:31,2022-06-01 17:26:00,5097,other
37,21028480,2022-06-01 06:41:47,2022-06-01 06:42:00,1296,o
37,21028480,2022-06-01 07:03:23,2022-06-01 07:03:00,3539,other
37,21028480,2022-06-01 08:02:22,2022-06-01 08:02:00,454,d
37,21028480,2022-06-01 08:09:56,2022-06-01 08:10:00,4241,other
37,21028480,2022-06-01 09:20:37,2022-06-01 09:21:00,2178,o
37,21028480,2022-06-01 09:56:55,2022-06-01 09:57:00,3826,other
37,21028480,2022-06-01 11:00:41,2022-06-01 11:01:00,770,d
37,21028480,2022-06-01 11:13:31,2022-06-01 11:14:00,3739,other
37,21028480,2022-06-01 12:15:50,2022-06-01 12:16:00,12521,o
37,21028480,2022-06-01 15:44:31,2022-06-01 15:45:00,3460,other
37,21028480,2022-06-01 16:42:11,2022-06-01 16:42:00,550,d
37,21028480,2022-06-01 16:51:21,2022-06-01 16:51:00,4100,other
37,21028481,2022-06-01 05:51:24,2022-06-01 05:51:00,1471,other
37,21028481,2022-06-01 06:15:55,2022-06-01 06:16:00,1330,o
37,21028481,2022-06-01 06:38:05,2022-06-01 06:38:00,3045,other
37,21028481,2022-06-01 07:28:50,2022-06-01 07:29:00,633,d
37,21028481,2022-06-01 07:39:23,2022-06-01 07:39:00,3929,other
37,21028481,2022-06-01 08:44:52,2022-06-01 08:45:00,2840,o
37,21028481,2022-06-01 09:32:12,2022-06-01 09:32:00,3805,other
37,21028481,2022-06-01 10:35:37,2022-06-01 10:36:00,551,d
37,21028481,2022-06-01 10:44:48,2022-06-01 10:45:00,3706,other
37,21028481,2022-06-01 11:46:34,2022-06-01 11:47:00,15655,o
37,21028487,2022-06-01 12:52:45,2022-06-01 12:53:00,11652,other
37,21028487,2022-06-01 16:06:57,2022-06-01 16:07:00,1344,d
37,21028487,2022-06-01 16:29:21,2022-06-01 16:29:00,4274,other
37,21028487,2022-06-01 17:40:35,2022-06-01 17:41:00,1252,o
37,21028535,2022-06-01 05:28:15,2022-06-01 05:28:00,1312,other
37,21028535,2022-06-01 05:50:07,2022-06-01 05:50:00,6760,o
37,21028535,2022-06-01 07:42:47,2022-06-01 07:43:00,3040,other
37,21028535,2022-06-01 08:33:27,2022-06-01 08:33:00,639,o
37,21028535,2022-06-01 08:44:06,2022-06-01 08:44:00,4143,other
37,21028535,2022-06-01 09:53:09,2022-06-01 09:53:00,230,d
37,21028535,2022-06-01 09:56:59,2022-06-01 09:57:00,3864,other
37,21028535,2022-06-01 11:01:23,2022-06-01 11:01:00,2807,o
37,21028535,2022-06-01 11:48:10,2022-06-01 11:48:00,3429,other
37,21028869,2022-06-01 07:08:22,2022-06-01 07:08:00,2663,o
37,21028869,2022-06-01 07:52:45,2022-06-01 07:53:00,3905,other
37,21028869,2022-06-01 08:57:50,2022-06-01 08:58:00,493,d
37,21028869,2022-06-01 09:06:03,2022-06-01 09:06:00,4195,other
37,21028869,2022-06-01 10:15:58,2022-06-01 10:16:00,20930,o
125,21032013,2022-06-01 06:27:44,2022-06-01 06:28:00,863,d
125,21032013,2022-06-01 06:42:07,2022-06-01 06:42:00,4028,other
125,21032013,2022-06-01 07:49:15,2022-06-01 07:49:00,2704,o
125,21032013,2022-06-01 08:34:19,2022-06-01 08:34:00,4354,other
125,21032013,2022-06-01 09:46:53,2022-06-01 09:47:00,634,d
125,21032013,2022-06-01 09:57:27,2022-06-01 09:57:00,4321,other
125,21032013,2022-06-01 11:09:28,2022-06-01 11:09:00,6224,o
125,21032013,2022-06-01 12:53:12,2022-06-01 12:53:00,3970,other
125,21032013,2022-06-01 13:59:22,2022-06-01 13:59:00,191,d
125,21032013,2022-06-01 14:02:33,2022-06-01 14:03:00,4649,other
125,21032013,2022-06-01 15:20:02,2022-06-01 15:20:00,6236,o
125,21032013,2022-06-01 17:03:58,2022-06-01 17:04:00,4316,other
125,21032013,2022-06-01 18:15:54,2022-06-01 18:16:00,551,d
125,21032013,2022-06-01 18:25:05,2022-06-01 18:25:00,4884,other
125,21032013,2022-06-01 19:46:29,2022-06-01 19:46:00,3711,o
125,21032042,2022-06-01 06:47:04,2022-06-01 06:47:00,952,d
125,21032042,2022-06-01 07:02:56,2022-06-01 07:03:00,4196,other
125,21032042,2022-06-01 08:12:52,2022-06-01 08:13:00,2759,o
125,21032042,2022-06-01 08:58:51,2022-06-01 08:59:00,4177,other
125,21032042,2022-06-01 10:08:28,2022-06-01 10:08:00,201,d
125,21032042,2022-06-01 10:11:49,2022-06-01 10:12:00,3755,other
125,21032042,2022-06-01 11:14:24,2022-06-01 11:14:00,9459,o
125,21032042,2022-06-01 13:52:03,2022-06-01 13:52:00,3675,other
125,21032042,2022-06-01 14:53:18,2022-06-01 14:53:00,473,d
